animeID,name,type,source,episodes,duration,genre,rating,score,scored_by,rank,popularity,members,favorites
9947,Lan Mao,TV,Original,3057,0:25:00,"['Adventure', 'Comedy']",PG - Children,5.64,11,11813,10422,448,0
12393,Oyako Club,TV,Original,1818,0:05:00,"['Slice of Life', 'Comedy']",G - All Ages,6.01,132,7695,10675,395,0
2471,Doraemon (1979),TV,Manga,1787,0:11:00,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",PG - Children,7.73,8781,1033,2733,22333,235
23349,Kirin Monoshiri Yakata,TV,Unknown,1565,0:05:00,['Kids'],PG - Children,6.04,83,7605,11680,243,1
6277,Manga Nippon Mukashibanashi (1976),TV,Unknown,1471,0:25:00,"['Fantasy', 'Historical']",G - All Ages,6.38,166,6284,9483,709,2
8213,Hoka Hoka Kazoku,TV,Unknown,1428,0:05:00,['Comedy'],G - All Ages,5.95,108,7846,10928,349,0
32448,Kirin Ashita no Calendar,TV,Unknown,1306,0:05:00,"['Historical', 'Kids']",G - All Ages,6.08,61,7486,12298,191,0
22221,Monoshiri Daigaku: Ashita no Calendar,TV,Original,1274,0:05:00,['Historical'],G - All Ages,6.31,63,6596,11532,261,0
10241,Sekai Monoshiri Ryoko,TV,Unknown,1006,0:05:00,['Comedy'],G - All Ages,6.05,83,7585,11250,296,0
20117,Kotowaza House,TV,Unknown,773,0:05:00,"['Comedy', 'Slice of Life']",None,5.99,56,7741,11960,216,0
9768,Shima Shima Tora no Shimajirou,TV,Original,726,0:23:00,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Magic']",G - All Ages,6.29,96,6692,10726,382,1
4936,Ninja Hattori-kun,TV,Manga,694,0:10:00,"['Slice of Life', 'Comedy', 'Martial Arts', 'Shounen']",G - All Ages,6.9,1715,4028,6043,3545,12
11595,Perman (1983),TV,Unknown,526,0:12:00,"['Kids', 'Comedy', 'Super Power', 'School']",PG - Children,6.33,408,6527,9079,885,10
7981,Obake no Q-tarou (1985),TV,Unknown,510,0:15:00,"['Comedy', 'Kids', 'School', 'Slice of Life', 'Supernatural']",G - All Ages,6.44,78,6029,11386,275,2
1735,Naruto: Shippuuden,TV,Manga,500,0:23:00,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",PG-13 - Teens 13 or older,8.19,446475,340,21,891865,48972
31517,Ninja-tai Gatchaman ZIP!,TV,Unknown,475,0:01:00,"['Parody', 'Comedy']",G - All Ages,5.8,51,8262,10969,345,1
10797,Kayoe! Chuugaku,TV,Original,425,0:01:00,"['Comedy', 'School']",None,5.94,17,11554,11477,265,1
